review_id,review_text,review_text_raw,rating,rating_filled,rating_normalized
1,amazing movie,<p>Amazing movie!</p>,8.0,8.0,0.8
2,terrible acting plot,Terrible acting & plot!!!,2.0,2.0,0.2
3,amazing movie,<p>Amazing movie!</p>,,8.0,0.8
4,terrible acting plot,Terrible acting & plot!!!,8.0,8.0,0.8
5,amazing movie,<p>Amazing movie!</p>,5.0,5.0,0.5
6,terrible acting plot,Terrible acting & plot!!!,2.0,2.0,0.2
7,amazing movie,<p>Amazing movie!</p>,8.0,8.0,0.8
8,terrible acting plot,Terrible acting & plot!!!,8.0,8.0,0.8
9,amazing movie,<p>Amazing movie!</p>,10.0,10.0,1.0
10,terrible acting plot,Terrible acting & plot!!!,5.0,5.0,0.5
11,amazing movie,<p>Amazing movie!</p>,8.0,8.0,0.8
12,terrible acting plot,Terrible acting & plot!!!,2.0,2.0,0.2
13,amazing movie,<p>Amazing movie!</p>,10.0,10.0,1.0
14,terrible acting plot,Terrible acting & plot!!!,8.0,8.0,0.8
15,amazing movie,<p>Amazing movie!</p>,,8.0,0.8
